professor_name,student_username,rate
Prof. Young,mysticCoder,4
Prof. Young,quantumExplorer,3
Prof. Young,cosmicDreamer,5
Prof. Wright,bioTechGenius,4
Prof. Wright,natureNinja,5
Prof. Wright,codeAlchemy,4
Prof. Thompson,mathMaverick,3
Prof. Thompson,techTrailblazer,5
Prof. Thompson,cyberSorcerer,4
Prof. Lewis,dataDynamo,5
Prof. Lewis,mysticCoder,4
Prof. Lewis,quantumExplorer,3
Prof. Johnson,bioTechGenius,4
Prof. Johnson,natureNinja,2
Prof. Johnson,codeAlchemy,4
Prof. Hill,mathMaverick,5
Prof. Hill,techTrailblazer,4
Prof. Hill,cyberSorcerer,3
Prof. Hall,dataDynamo,4
Prof. Hall,mysticCoder,3
Prof. Hall,quantumExplorer,5
Prof. Green,bioTechGenius,4
Prof. Green,natureNinja,5
Prof. Green,codeAlchemy,4
Prof. Garcia,mathMaverick,2
Prof. Garcia,techTrailblazer,3
Prof. Garcia,cyberSorcerer,5
Prof. Clark,dataDynamo,4
Prof. Clark,mysticCoder,5
Prof. Clark,quantumExplorer,4
Prof. Baker,bioTechGenius,3
Prof. Baker,natureNinja,4
Prof. Baker,codeAlchemy,5
Prof. Adams,mathMaverick,4
Prof. Adams,techTrailblazer,3
Prof. Adams,cyberSorcerer,2
Dr. White,dataDynamo,5
Dr. White,mysticCoder,4
Dr. White,quantumExplorer,3
Dr. Walker,bioTechGenius,4
Dr. Walker,natureNinja,2
Dr. Walker,codeAlchemy,4
Dr. Smith,mathMaverick,5
Dr. Smith,techTrailblazer,3
Dr. Smith,cyberSorcerer,1
Dr. Scott,dataDynamo,4
Dr. Scott,mysticCoder,3
Dr. Scott,quantumExplorer,5
Dr. Rodriguez,bioTechGenius,2
Dr. Rodriguez,natureNinja,4
Dr. Rodriguez,codeAlchemy,3
Dr. Robinson,mathMaverick,5
Dr. Robinson,techTrailblazer,4
Dr. Robinson,cyberSorcerer,2
Dr. Martinez,dataDynamo,3
Dr. Martinez,mysticCoder,4
Dr. Martinez,quantumExplorer,5
Dr. Lopez,bioTechGenius,4
Dr. Lopez,natureNinja,3
Dr. Lopez,codeAlchemy,2
Dr. King,mathMaverick,5
Dr. King,techTrailblazer,4
Dr. King,cyberSorcerer,1
Dr. Harris,dataDynamo,3
Dr. Harris,mysticCoder,2
Dr. Harris,quantumExplorer,4
Dr. Brown,bioTechGenius,5
Dr. Brown,natureNinja,4
Dr. Brown,codeAlchemy,3
Dr. Black,mathMaverick,2
Dr. Black,techTrailblazer,1
Dr. Black,cyberSorcerer,5
Dr. Allen,dataDynamo,4
Dr. Allen,mysticCoder,3
Dr. Allen,quantumExplorer,2
Dr. Adams,bioTechGenius,4
Dr. Adams,natureNinja,5
Dr. Adams,codeAlchemy,3
