course_name,student_username,rate
Introduction to Computer Science,mysticCoder,4.2
Introduction to Computer Science,quantumExplorer,4.5
Introduction to Computer Science,cosmicDreamer,3.8
Calculus II,mysticCoder,3.9
Calculus II,quantumExplorer,4.1
Calculus II,cosmicDreamer,3.7
English Composition,mysticCoder,4.8
English Composition,quantumExplorer,4.3
English Composition,cosmicDreamer,4.0
European History,mysticCoder,4.1
European History,quantumExplorer,4.4
European History,cosmicDreamer,4.2
Cell Biology,mysticCoder,4.7
Cell Biology,quantumExplorer,4.9
Cell Biology,cosmicDreamer,4.5
Principles of Microeconomics,mysticCoder,3.6
Principles of Microeconomics,quantumExplorer,4.0
Principles of Microeconomics,cosmicDreamer,3.8
Introduction to Psychology,mysticCoder,4.2
Introduction to Psychology,quantumExplorer,4.6
Introduction to Psychology,cosmicDreamer,4.4
Introduction to Philosophy,mysticCoder,4.0
Introduction to Philosophy,quantumExplorer,4.3
Introduction to Philosophy,cosmicDreamer,3.9
Introduction to Art History,mysticCoder,4.5
Introduction to Art History,quantumExplorer,4.8
Introduction to Art History,cosmicDreamer,4.1
